"quizId","order","prompt","points","option1","option2","option3","option4","correctOption"
"a7c00000-0000-4000-8000-000000000003","13","ما تردد موجة زمنها الدوري 0.5 ثانية؟","1","0.5 هرتز","2 هرتز","5 هرتز","10 هرتز","2"
"a7c00000-0000-4000-8000-000000000003","14","ما وحدة قياس المقاومة الكهربائية؟","1.5","الفولت","الأمبير","الأوم","الواط","3"
"a7c00000-0000-4000-8000-000000000003","15","قوة ثابتة 10 نيوتن حرّكت جسمًا 3 أمتار في اتجاهها. ما الشغل المبذول؟","2","3 جول","10 جول","13 جول","30 جول","4"
"a7c00000-0000-4000-8000-000000000004","1","إذا كان 2س + 6 = 14، فما قيمة س؟","1","3","4","5","6","2"
"a7c00000-0000-4000-8000-000000000004","2","ما قيمة 3² + 4²؟","1.5","7","14","25","49","3"
"a7c00000-0000-4000-8000-000000000004","3","ما ميل المستقيم ص = 3س − 2؟","2","−2","2","−3","3","4"
"a7c00000-0000-4000-8000-000000000004","4","ما مساحة مثلث قاعدته 10 سم وارتفاعه 6 سم؟","1","30 سم²","60 سم²","16 سم²","80 سم²","1"
"a7c00000-0000-4000-8000-000000000004","5","ما ناتج (س + 2)(س + 3)؟","1.5","س² + 6","س² + 5س + 6","س² + س + 6","2س + 5","2"
"a7c00000-0000-4000-8000-000000000004","6","ما الجذر التربيعي الموجب للعدد 81؟","2","7","8","9","18","3"
"a7c00000-0000-4000-8000-000000000004","7","ما قيمة 15% من 200؟","1","15","20","25","30","4"
"a7c00000-0000-4000-8000-000000000004","8","ما حل المتباينة س + 4 > 9؟","1.5","س > 5","س < 5","س > 13","س < 13","1"
"a7c00000-0000-4000-8000-000000000004","9","ما المتوسط الحسابي للأعداد 4، 6، 8، 10؟","2","6","7","8","9","2"
"a7c00000-0000-4000-8000-000000000004","10","ما احتمال ظهور عدد زوجي عند رمي حجر نرد منتظم؟","1","1/6","1/3","1/2","2/3","3"
"a7c00000-0000-4000-8000-000000000004","11","ما محيط مستطيل طوله 8 سم وعرضه 5 سم؟","1.5","13 سم","40 سم","20 سم","26 سم","4"
"a7c00000-0000-4000-8000-000000000004","12","ما ناتج 2/3 + 1/6؟","2","5/6","3/9","1/2","1","1"
"a7c00000-0000-4000-8000-000000000004","13","ما قيمة س في المعادلة 5س = 35؟","1","5","7","30","40","2"
"a7c00000-0000-4000-8000-000000000004","14","في مثلث قائم، طولا الضلعين القائمين 6 سم و8 سم. ما طول الوتر؟","1.5","12 سم","14 سم","10 سم","48 سم","3"
"a7c00000-0000-4000-8000-000000000004","15","ما نقطة تقاطع المستقيم ص = 2س + 5 مع محور الصادات؟","2","(5، 0)","(2، 0)","(0، 2)","(0، 5)","4"
"a7c00000-0000-4000-8000-000000000005","1","What is the SI unit of force?","1","Joule","Newton","Watt","Volt","2"
"a7c00000-0000-4000-8000-000000000005","2","A car travels 100 metres in 20 seconds. What is its average speed?","1.5","2 m/s","20 m/s","5 m/s","80 m/s","3"
"a7c00000-0000-4000-8000-000000000005","3","What is the SI unit of energy?","2","Ampere","Kilogram","Newton","Joule","4"
"a7c00000-0000-4000-8000-000000000005","4","A 2 kg object accelerates at 3 m/s². What is the net force?","1","6 N","5 N","1.5 N","9 N","1"
"a7c00000-0000-4000-8000-000000000005","5","What is the acceleration at constant velocity?","1.5","1 m/s²","Zero","9.8 m/s²","Always increasing","2"
"a7c00000-0000-4000-8000-000000000005","6","Which instrument measures electric current?","2","Voltmeter","Barometer","Ammeter","Thermometer","3"
"a7c00000-0000-4000-8000-000000000005","7","A 4 ohm resistor carries 2 amperes. What is the voltage?","1","2 V","4 V","6 V","8 V","4"
"a7c00000-0000-4000-8000-000000000005","8","Which material is a good electrical conductor?","1.5","Copper","Dry wood","Glass","Plastic","1"
"a7c00000-0000-4000-8000-000000000005","9","What energy is stored in a compressed spring?","2","Kinetic energy","Elastic potential energy","Nuclear energy","Sound energy","2"
"a7c00000-0000-4000-8000-000000000005","10","What is the SI unit of power?","1","Joule","Ohm","Watt","Coulomb","3"
"a7c00000-0000-4000-8000-000000000005","11","At constant mass, doubling speed changes kinetic energy by what factor?","1.5","1","0.5","2","4","4"
"a7c00000-0000-4000-8000-000000000005","12","How does energy from sunlight travel through a vacuum?","2","Radiation","Conduction","Convection","Material diffusion","1"
"a7c00000-0000-4000-8000-000000000005","13","A wave has a period of 0.5 seconds. What is its frequency?","1","0.5 Hz","2 Hz","5 Hz","10 Hz","2"
"a7c00000-0000-4000-8000-000000000005","14","What is the unit of electrical resistance?","1.5","Volt","Ampere","Ohm","Watt","3"
"a7c00000-0000-4000-8000-000000000005","15","A 10 N force moves an object 3 metres in the force direction. What is the work?","2","3 J","10 J","13 J","30 J","4"
